domain_tag,rank,v2_label,v2_n,v3_label,v3_n
admin,1,Project Management,7,Planisware solution deployment,3
admin,2,Compliance,2,Project and Portfolio Management,3
admin,3,SQL Querying,2,client process understanding,3
admin,4,Agile Delivery,1,Planisware application support,2
admin,5,Backend Development,1,blasting operational process mapping,2
data,1,Business Intelligence,19,Python programming,6
data,2,Data Analysis,18,international environment,4
data,3,Project Management,10,KPI tracking,2
data,4,Power BI,8,LinkedIn,2
data,5,SQL Querying,7,SAP daily activities support,2
engineering,1,Project Management,53,veille technologique,7
engineering,2,Documentation,45,C/C++ programming,5
engineering,3,Compliance,40,Java,4
engineering,4,Process Optimization,28,Python programming,4
engineering,5,Data Analysis,15,data analysis,4
finance,1,Business Intelligence,43,Excel,13
finance,2,Budgeting,32,financial reporting,10
finance,3,Compliance,16,international environment,7
finance,4,Excel,11,budget management,6
finance,5,Financial Analysis,10,financial analysis,4
hr,1,Recruitment,21,candidate sourcing,6
hr,2,Business Intelligence,8,international environment,5
hr,3,Onboarding,8,talent management,4
hr,4,B2B Sales,6,HR project tracking,3
hr,5,Data Analysis,6,HR systems and tools,3
legal,1,Compliance,7,contract management,2
legal,2,Business Intelligence,2,AI tools for legal work,1
legal,3,Legal Analysis,2,Brussels Regulatory Hub,1
legal,4,Financial Analysis,1,Compliance program support,1
legal,5,PowerPoint,1,Contract Management Strategy Plan development,1
marketing,1,Data Analysis,5,AI agents and automation,1
marketing,2,CRM Management,4,ASIST - WIT platform,1
marketing,3,Salesforce,4,Account Based Marketing (ABM),1
marketing,4,Business Intelligence,2,Adwords campaign management,1
marketing,5,Digital Marketing,2,B2B lifecycle optimization,1
operations,1,Project Management,40,international environment,5
operations,2,Business Intelligence,14,Power BI,2
operations,3,Process Optimization,10,Spanish language proficiency,2
operations,4,Budgeting,9,budget monitoring,2
operations,5,Compliance,8,budget tracking,2
other,1,Compliance,2,client engagement management,2
other,2,Project Management,2,presentation materials development,2
other,3,Documentation,1,qualitative and quantitative analysis,2
other,4,Onboarding,1,research plan design,2
other,5,Process Optimization,1,strategic recommendations frameworks,2
sales,1,B2B Sales,57,B2B prospecting,15
sales,2,Market Analysis,31,business development,14
sales,3,CRM Management,26,Salesforce,10
sales,4,Project Management,17,client relationship management,9
sales,5,Business Intelligence,11,market analysis,9
supply,1,Project Management,37,supplier relationship management,7
supply,2,Supply Chain Management,31,SAP,4
supply,3,SAP,12,international environment,4
supply,4,Budgeting,11,contract management,3
supply,5,Compliance,11,cross-functional teamwork,3
