profile_id,offer_id,match_score_current,esco_coverage,esco_matched_count,esco_offer_total,missing_top5,mapped_profile_count,mapped_offer_count
golden_01,VIE-001,NA,1.0,6,6,,9,6
golden_01,VIE-002,NA,0.2,1,5,cycle de développement logiciel; JavaScript; développer un prototype de logiciel; JavaScript Framework,9,5
golden_01,VIE-003,NA,0.2,1,5,analyse marketing; techniques de marketing numérique; gestion de projets; optimisation des moteurs de recherche,9,5
golden_01,VIE-004,NA,0.25,1,4,effectuer une analyse financière de stratégies de prix; analyse financière; gérer le système normalisé de planification des ressources d'une entreprise,9,4
golden_01,VIE-005,NA,0.0,0,5,cycle de développement logiciel; argumentaire de vente; négocier des conditions avec les fournisseurs; négocier les prix; gestion de la relation client,9,5
golden_01,VIE-006,NA,0.8,4,5,apprentissage automatique,9,5
golden_01,VIE-007,NA,0.0,0,5,gestion de projets par méthode Agile; informatique décisionnelle; programmation informatique; développement par itérations; gestion de projets,9,5
golden_01,VIE-008,NA,1.0,5,5,,9,5
golden_01,VIE-009,NA,0.3333,2,6,cycle de développement logiciel; développer un prototype de logiciel; outils de gestion de configuration logicielle; PostgreSQL,9,6
golden_01,VIE-010,NA,0.25,1,4,analyse marketing; techniques de marketing numérique; optimisation des moteurs de recherche,9,4
golden_01,VIE-011,NA,0.1667,1,6,effectuer une analyse financière de stratégies de prix; gestion de projets; analyse financière; comptabilité; gérer le système normalisé de planification des ressources d'une entreprise,9,6
golden_01,VIE-012,NA,0.0,0,3,circuits intégrés; outils de gestion de configuration logicielle; DevOps,9,3
golden_01,VIE-013,NA,0.0,0,5,créer un prototype de solution en matière d’expérience utilisateur; gestion de projets par méthode Agile; développement par itérations; techniques de marketing numérique; gestion de projets,9,5
golden_01,VIE-014,NA,0.3333,1,3,conseiller d’autres personnes; gestion de la relation client,9,3
golden_01,VIE-015,NA,0.8,4,5,SPARK,9,5
golden_01,VIE-016,NA,0.0,0,4,créer un prototype de solution en matière d’expérience utilisateur; schéma de conception d’interface utilisateur; mettre en œuvre le design front end d’un site web; concevoir une interface utilisateur,9,4
golden_01,VIE-017,NA,0.1667,1,6,négocier des conditions avec les fournisseurs; coordonner les activités d'achat; gestion de projets; négocier les prix; gérer un cycle d’achat,9,6
golden_01,VIE-018,NA,0.0,0,3,WordPress; gestion de projets; optimisation des moteurs de recherche,9,3
golden_01,VIE-019,NA,0.5,2,4,logistique; gérer le système normalisé de planification des ressources d'une entreprise,9,4
golden_01,VIE-020,NA,0.0,0,4,cycle de développement logiciel; développer un prototype de logiciel; JavaScript Framework; iOS,9,4
