offer_id,external_id,domain_tag,canonical_id,label,skill_type,importance_level,confidence,evidence
4,BF-242349,data,metier:ai_tool_development,AI tool development,CORE_METIER,CORE,0.9,design and improve AI assistants to increase efficiency.
4,BF-242349,data,metier:python_programming,Python programming,TOOL,SECONDARY,0.9,"Good level in Python, Langchain, FastAPI, MCP servers, and interest in AI and automation."
4,BF-242349,data,metier:javascript_knowledge,JavaScript knowledge,TOOL,SECONDARY,0.8,Knowledge of JavaScript and/or Docker environments is a plus.
4,BF-242349,data,metier:industrial_context_understanding,industrial context understanding,CONTEXT,SECONDARY,0.7,A good understanding of industrial contexts is a plus.
45,242523,data,metier:data_analysis_activities,data analysis activities,CORE_METIER,CORE,0.9,carry out various data analysis activities for the DPM client base
45,242523,data,metier:vba_automation,VBA automation,CORE_METIER,CORE,0.9,automate and improve existing and new processes through the use of VBA
45,242523,data,metier:dashboard_implementation,dashboard implementation,CORE_METIER,CORE,0.9,work on the implementation of dashboards providing the managers with continuously updated financial data
45,242523,data,metier:powerpoint_reporting,PowerPoint reporting,CORE_METIER,CORE,0.9,"create PowerPoint presentations, reports, performance files, etc."
45,242523,data,metier:international_environment,international environment,CONTEXT,SECONDARY,0.8,You will be part of a stimulating and rapidly evolving international environment
106,242505,data,metier:automated_data_pipelines_development,automated data pipelines development,CORE_METIER,CORE,1.0,Develop and maintain automated data pipelines to ensure efficient data flow
106,242505,data,metier:interactive_dashboards_creation,interactive dashboards creation,CORE_METIER,CORE,1.0,Create interactive dashboards and insightful reports using Power BI and/or Qlik Sense
106,242505,data,metier:machine_learning_algorithms_application,Machine Learning algorithms application,CORE_METIER,CORE,1.0,Apply Machine Learning algorithms to clusterize reported train defects
106,242505,data,metier:power_automate,Power Automate,TOOL,SECONDARY,1.0,"efficient data flow (using Power Automate, API …)"
106,242505,data,metier:power_bi_and_qlik_sense,Power BI and Qlik Sense,TOOL,SECONDARY,1.0,using Power BI and/or Qlik Sense to support decision-making
126,237412,data,metier:data_modeling,data modeling,CORE_METIER,CORE,1.0,"Design and maintain robust, standardized, and scalable data models aligned with business needs."
126,237412,data,metier:workflow_automation,workflow automation,TOOL,SECONDARY,1.0,Implement Power Automate workflows to reduce manual activities and improve data flow efficiency.
126,237412,data,metier:advanced_excel_skills,advanced Excel skills,TOOL,SECONDARY,1.0,"Advanced Excel skills (Power Query, data models)."
5,BF-242348,engineering,metier:validation_d_automates_et_mes,Validation d'automates et MES,CORE_METIER,CORE,1.0,"La Validation d'automates, de superviseurs et de MES (Manufacturing Execution System)"
5,BF-242348,engineering,metier:r_daction_de_protocoles_de_tests,Rédaction de protocoles de tests,CORE_METIER,CORE,1.0,"La rédaction des protocoles de tests, change control et rapport de validation"
5,BF-242348,engineering,metier:compliance_gamp_et_21_cfr_part_11,Compliance GAMP et 21 CFR Part 11,CORE_METIER,CORE,1.0,"La compliance GAMP, 21 CFR part 11, BPx"
5,BF-242348,engineering,metier:manufacturing_execution_system,Manufacturing Execution System,TOOL,SECONDARY,1.0,"Validation d'automates, de superviseurs et de MES (Manufacturing Execution System)"
5,BF-242348,engineering,metier:environnement_pharmaceutique,Environnement pharmaceutique,CONTEXT,SECONDARY,1.0,"dans de nombreux domaines tels que la pharmaceutique, les dispositifs médicaux, la biotechnologie"
42,242528,engineering,metier:analyses_des_probl_mes_d_adh_sion,analyses des problèmes d’adhésion,CORE_METIER,CORE,1.0,Analyses des problèmes d’adhésion
42,242528,engineering,metier:recherche_et_d_veloppement_de_solutions,recherche et développement de solutions,CORE_METIER,CORE,1.0,Piloter la recherche et développement de solutions
42,242528,engineering,metier:support_technique_chimique,support technique chimique,CORE_METIER,CORE,1.0,Apporter un support technique chimique aux équipes process
42,242528,engineering,metier:essais_en_laboratoire,essais en laboratoire,CORE_METIER,CORE,1.0,Réaliser et suivre les tests et essais en laboratoire
59,242538,engineering,metier:infrastructure_project_deployment,infrastructure project deployment,CORE_METIER,CORE,0.9,accompagnant dans leurs projets de déploiement de leurs infrastructures réseau
