offer_id,external_id,domain_tag,title,kept,dropped,rows_written,error
4,BF-242349,data,Artificial Intelligence Officer (H/F),4,0,4,
45,242523,data,Junior Portfolio Management Analyst (H/F),5,0,5,
106,242505,data,Methods & Tools Quality Engineer (H/F),5,0,5,
107,242500,data,Junior Project Officer – Battery Electric Trains (H/F),0,0,0,
126,237412,data,Data & Process Analyst (H/F),3,2,3,
5,BF-242348,engineering,INGÉNIEUR(E) CSV (H/F),5,0,5,
42,242528,engineering,INGÉNIEUR MATÉRIAUX COMPOSITE (H/F),4,0,4,
59,242538,engineering,INGENIEUR.E INFRASTRUCTURES (H/F),5,0,5,
63,242531,engineering,V.I.E. Ingénieur(e) Commercial Junior (H/F),0,0,0,
64,242530,engineering,INGÉNIEUR CONCEPTION MÉCANIQUE (H/F),5,0,5,
3,BF-242350,finance,VIE - Meeting Planner contrat H_F_X - BRUXELLES - 6 MONTHS (H/F),5,0,5,
6,BF-242346,finance,VIE - BUSINESS CONTROLLER M/F (H/F),5,0,5,
43,242525,finance,Contrôleur de gestion (H/F),3,2,3,
44,242524,finance,Private Equity – Portfolio Management H/F (H/F),5,0,5,
47,242521,finance,INGENIEUR QUALITE (H/F),4,1,4,
48,242520,operations,VIE - Assistant Chef de projet F/H (H/F),4,0,4,
60,242536,operations,CHEF DE PROJET CONSTRUCTION LOGEMENTS (H/F),5,0,5,
108,242497,operations,V.I.E. Junior Innovation Manager (H/F),4,0,4,
118,242347,operations,Carpool Project Lead (H/F),5,0,5,
138,242436,operations,V.I.E. Chargé d'exploitation et de digitalisation aéroportuaire (H/F),3,0,3,
1,BF-242363,sales,Field Service Business Operations & Digital Transformation North America (H/F),4,0,4,
7,BF-242345,sales,TECH/SALES RESERVOIR SIMULATION SOFTWARE SOLUTIONS (H/F),5,0,5,
8,BF-242344,sales,TECH/SALES RESERVOIR SIMULATION SOFTWARE SOLUTIONS (H/F),5,0,5,
9,BF-242343,sales,Business Development Analyst (H/F),5,0,5,
46,242522,sales,Business Manager (H/F),5,0,5,
50,242553,supply,Coordinateur Opérations Industrielles (H/F),4,0,4,
55,242545,supply,Digital Asset Specialist (H/F),5,0,5,
62,242532,supply,HES Engineer M/W (H/F),5,0,5,
77,232908,supply,COMMERCIAL / VENTE B2B ITALIE (H/F),4,1,4,
102,242514,supply,VIE - Junior Buyer / / North America Business Unit (M/F) (H/F),5,0,5,
